"","pair1","pair2","Yfrom","Yuntil","correlation","observation","p"
"55126","P0236","P0804",2012,2020,0.498807605610617,435,9.60508822216157e-29
"55128","P0236","P0807",2012,2020,0.435830722551686,293,5.16165590655101e-15
"55130","P0236","P0810",2012,2020,0.440550437230171,266,4.68163635651746e-14
"55132","P0236","P0813",2012,2020,0.402472005220768,272,5.1558399130334e-12
"55133","P0236","P0814",2012,2020,0.524487523765905,243,1.41447147489249e-18
"55135","P0236","P0816",2012,2020,0.50563884876225,458,4.24731375126782e-31
"55141","P0236","P0824",2012,2020,0.264106307061336,283,6.68409312553656e-06
"55142","P0236","P0826",2012,2020,0.408448448763347,246,2.61664309401207e-11
"55147","P0236","P0834",2012,2020,0.391109307320617,373,4.40551729638375e-15
"55153","P0236","P0840",2012,2020,0.374391497679532,334,1.48816619931061e-12
"55160","P0236","P0851",2012,2020,0.242683924237424,358,3.39476995230055e-06
"55165","P0236","P0857",2012,2020,0.120877882053989,299,0.0367000718628695
"55173","P0236","P0869",2012,2020,0.253632751287197,304,7.55405913711606e-06
"55175","P0236","P0871",2012,2020,0.448908768714969,323,2.01593166250254e-17
"55178","P0236","P0874",2012,2020,0.250736153829415,313,7.11702008674211e-06
"55180","P0236","P0876",2012,2020,0.432871206166671,539,5.03642176040733e-26
"55183","P0236","P0879",2012,2020,0.411728220307807,643,1.06038340465526e-27
"55184","P0236","P0880",2012,2020,0.529339878631915,451,6.21389155728439e-34
"55186","P0236","P0882",2012,2020,0.448388150890046,275,5.24232164505101e-15
"55187","P0236","P0883",2012,2020,0.322028584427671,253,1.6322258602948e-07
"55188","P0236","P0884",2012,2020,0.234954700071202,706,2.60673700236102e-10
"55191","P0236","P0887",2012,2020,0.506701091775014,394,4.36551961266337e-27
"55193","P0236","P0889",2017,2020,0.341729007864328,149,1.99606361079166e-05
"55194","P0236","P0890",2012,2020,0.325956049408885,387,4.96741145404678e-11
"55201","P0236","P0898",2017,2020,0.522052701103309,223,5.45076800809229e-17
"55204","P0236","P0902",2012,2020,0.366304880977032,374,2.55236403558732e-13
"55206","P0236","P0906",2012,2020,0.414494638463829,386,1.85390263013829e-17
"55207","P0236","P0907",2012,2020,0.399892334876673,409,3.88523972938264e-17
"55208","P0236","P0908",2012,2020,0.383431820273229,395,2.78038978361699e-15
"55220","P0236","P0931",2012,2020,0.353065553334671,449,1.2565327929097e-14
"55225","P0236","P0947",2012,2016,0.483556835990395,157,1.40704532403516e-10
"55259","P0236","P1071",2012,2016,0.515218127029297,209,1.44242935654039e-15
"55260","P0236","P1072",2012,2016,0.513922575535085,338,3.53160080545623e-24
"55635","P0238","P0246",2012,2020,0.377958366270244,330,1.20162779961958e-12
"55651","P0238","P0271",2012,2020,0.217984511410018,333,6.04040294351709e-05
"55654","P0238","P0274",2012,2020,0.33570268145239,333,3.25074441121517e-10
"55670","P0238","P0299",2017,2020,0.442325540343679,125,2.40930481595957e-07
"55682","P0238","P0315",2017,2020,0.599346842722843,130,4.93806175196496e-14
"55683","P0238","P0316",2012,2020,0.22447137682654,349,2.31043832786465e-05
"55718","P0238","P0367",2012,2020,0.214440958940555,343,6.2365766986941e-05
"55727","P0238","P0378",2012,2020,0.16304032668485,440,0.000596427709789008
"55763","P0238","P0435",2012,2020,0.331750343836183,337,4.23137367680049e-10
"55764","P0238","P0436",2012,2020,0.255458894449533,366,7.31088599237993e-07
"55812","P0238","P0525",2012,2020,0.390197041701328,334,1.36437904059287e-13
"55815","P0238","P0528",2012,2020,0.468707105799748,520,9.29972378492921e-30
"55816","P0238","P0529",2012,2020,0.343501920062114,415,6.16864720707029e-13
"55821","P0238","P0536",2012,2020,0.29098809630472,358,2.04300860694375e-08
"55829","P0238","P0560",2012,2020,0.404775964527211,367,6.68208203040649e-16
"55830","P0238","P0561",2012,2020,0.451263625460036,372,4.61343588126922e-20
"55837","P0238","P0588",2012,2020,0.381275659838639,349,1.60915453423089e-13
"55853","P0238","P0612",2012,2020,0.193614843069235,379,0.000148971677235237
"55858","P0238","P0629",2012,2020,0.303639116697462,355,5.24349511966264e-09
"55865","P0238","P0644",2012,2020,0.113975337055473,437,0.0171465469625285
"55866","P0238","P0645",2012,2020,0.154990657321254,686,4.56774100886719e-05
"55870","P0238","P0654",2012,2020,0.233435110406442,409,1.8188148952492e-06
"55872","P0238","P0660",2012,2020,0.407228432708561,340,5.16059755579635e-15
"55879","P0238","P0670",2012,2020,0.365328755567262,413,1.73991156124079e-14
